# {"t_start": 1581368971.4326901, "env_id": "virtualhome-v0"} 
r,l,t
0.0,31,8.86783
0.0,31,12.753309
0.0,31,16.739652
0.0,31,20.668488
0.0,31,24.684669
0.170471,31,28.97753
0.0,31,32.621256
0.073242,31,36.885395
0.0,31,40.463423
0.0,31,44.383263
0.0,31,48.555955
0.0,31,52.534186
0.0,31,56.528343
0.002808,31,60.167223
0.0,31,64.175329
0.528931,31,68.044384
0.0,31,72.248074
0.0,31,76.569749
0.801514,31,80.376961
0.0,31,84.485991
0.0,31,88.2915
0.0,31,92.209011
0.0,31,96.113787
0.0,31,100.147034
